transformed_feature,raw_feature,is_missing_indicator,gain,gain_share,split_count,mean_abs_shap_log_odds,shap_share
numeric__missingindicator_PREV_HIGH_YIELD_COUNT,PREV_HIGH_YIELD_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_MIDDLE_YIELD_COUNT,PREV_MIDDLE_YIELD_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_PAYMENT_COUNT_MAX,PREV_PAYMENT_COUNT_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_PAYMENT_COUNT_MEAN,PREV_PAYMENT_COUNT_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_DAYS_SINCE_DECISION_MAX,PREV_DAYS_SINCE_DECISION_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_DAYS_SINCE_DECISION_MEAN,PREV_DAYS_SINCE_DECISION_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_YEARS_BUILD_MEDI,YEARS_BUILD_MEDI,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_REFUSED_COUNT,PREV_REFUSED_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_UNIQUE_APPLICATION_COUNT,PREV_UNIQUE_APPLICATION_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_UNUSED_OFFER_COUNT,PREV_UNUSED_OFFER_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_BAD_DEBT_COUNT,BUREAU_BAD_DEBT_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_CLOSED_COUNT,BUREAU_CLOSED_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_CREDIT_COUNT,BUREAU_CREDIT_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_CREDIT_MAX,BUREAU_CREDIT_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_CREDIT_MEAN,BUREAU_CREDIT_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_CREDIT_SUM,BUREAU_CREDIT_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_CREDIT_TYPE_COUNT,BUREAU_CREDIT_TYPE_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_DAYS_OVERDUE_MAX,BUREAU_DAYS_OVERDUE_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_DAYS_OVERDUE_MEAN,BUREAU_DAYS_OVERDUE_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_DAYS_SINCE_CREDIT_MAX,BUREAU_DAYS_SINCE_CREDIT_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_RECENT_12M_COUNT,PREV_RECENT_12M_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_RECENT_24M_COUNT,PREV_RECENT_24M_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_REFUSAL_RATE,PREV_REFUSAL_RATE,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_OVERDUE_MAX,BUREAU_OVERDUE_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_OVERDUE_RATE,BUREAU_OVERDUE_RATE,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_OVERDUE_SUM,BUREAU_OVERDUE_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_PROLONG_MAX,BUREAU_PROLONG_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_PROLONG_SUM,BUREAU_PROLONG_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_RECENT_12M_COUNT,BUREAU_RECENT_12M_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_RECENT_24M_COUNT,BUREAU_RECENT_24M_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_SOLD_COUNT,BUREAU_SOLD_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_UNIQUE_CREDIT_COUNT,BUREAU_UNIQUE_CREDIT_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_ACTIVE_MONTH_COUNT,CC_ACTIVE_MONTH_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_BALANCE_MAX,CC_BALANCE_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_BALANCE_MEAN,CC_BALANCE_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_BALANCE_SUM,CC_BALANCE_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_CONTRACT_COUNT,CC_CONTRACT_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DPD_DEF_MONTH_COUNT,CC_DPD_DEF_MONTH_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DPD_DEF_MONTH_RATE,CC_DPD_DEF_MONTH_RATE,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DPD_MAX,CC_DPD_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DPD_MEAN,CC_DPD_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DPD_MONTH_COUNT,CC_DPD_MONTH_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DPD_MONTH_RATE,CC_DPD_MONTH_RATE,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DRAWINGS_MEAN,CC_DRAWINGS_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DRAWINGS_SUM,CC_DRAWINGS_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_DRAWING_COUNT_SUM,CC_DRAWING_COUNT_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_LATEST_MONTH,CC_LATEST_MONTH,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_LIMIT_MAX,CC_LIMIT_MAX,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_LIMIT_MEAN,CC_LIMIT_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_MONTH_COUNT,CC_MONTH_COUNT,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_OLDEST_MONTH,CC_OLDEST_MONTH,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_CC_PAYMENT_TOTAL_SUM,CC_PAYMENT_TOTAL_SUM,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_DAYS_SINCE_CREDIT_MEAN,BUREAU_DAYS_SINCE_CREDIT_MEAN,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_BUREAU_DAYS_SINCE_CREDIT_MIN,BUREAU_DAYS_SINCE_CREDIT_MIN,True,0.0,0.0,0,0.0,0.0
